reading_id,meter_id,reading_date,counter_liters,previous_counter_liters,interval_days,run_id,interval_status,consumption_liters
M-0047:2026-08-25,M-0047,2026-08-25,226260,226070,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,190
M-0047:2026-08-26,M-0047,2026-08-26,226438,226260,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,178
M-0047:2026-08-27,M-0047,2026-08-27,226601,226438,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,163
M-0047:2026-08-28,M-0047,2026-08-28,226760,226601,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,159
M-0047:2026-08-29,M-0047,2026-08-29,226900,226760,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,140
M-0049:2026-06-01,M-0049,2026-06-01,396911,,,46d82b79-61cd-4884-bc2b-56551067447a,initial,
M-0049:2026-06-02,M-0049,2026-06-02,397156,396911,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,245
M-0049:2026-06-03,M-0049,2026-06-03,397495,397156,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,339
M-0049:2026-06-04,M-0049,2026-06-04,397726,397495,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,231
M-0049:2026-06-05,M-0049,2026-06-05,398065,397726,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,339
M-0049:2026-06-06,M-0049,2026-06-06,398325,398065,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,260
M-0049:2026-06-07,M-0049,2026-06-07,398567,398325,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,242
M-0049:2026-06-08,M-0049,2026-06-08,398845,398567,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,278
M-0049:2026-06-09,M-0049,2026-06-09,399074,398845,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,229
M-0049:2026-06-10,M-0049,2026-06-10,399312,399074,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,238
M-0049:2026-06-11,M-0049,2026-06-11,399542,399312,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,230
M-0049:2026-06-12,M-0049,2026-06-12,399795,399542,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,253
M-0049:2026-06-13,M-0049,2026-06-13,400071,399795,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,276
M-0049:2026-06-14,M-0049,2026-06-14,400389,400071,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,318
M-0049:2026-06-15,M-0049,2026-06-15,400674,400389,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,285
M-0049:2026-06-16,M-0049,2026-06-16,400944,400674,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,270
M-0049:2026-06-17,M-0049,2026-06-17,401251,400944,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,307
M-0049:2026-06-18,M-0049,2026-06-18,401483,401251,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,232
M-0049:2026-06-19,M-0049,2026-06-19,401720,401483,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,237
M-0049:2026-06-20,M-0049,2026-06-20,402034,401720,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,314
M-0049:2026-06-21,M-0049,2026-06-21,402279,402034,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,245
M-0049:2026-06-22,M-0049,2026-06-22,402537,402279,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,258
M-0049:2026-06-23,M-0049,2026-06-23,402810,402537,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,273
M-0049:2026-06-24,M-0049,2026-06-24,403100,402810,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,290
M-0049:2026-06-25,M-0049,2026-06-25,403349,403100,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,249
M-0049:2026-06-26,M-0049,2026-06-26,403679,403349,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,330
M-0049:2026-06-27,M-0049,2026-06-27,403936,403679,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,257
M-0049:2026-06-28,M-0049,2026-06-28,404207,403936,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,271
M-0049:2026-06-29,M-0049,2026-06-29,404436,404207,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,229
M-0049:2026-06-30,M-0049,2026-06-30,404775,404436,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,339
M-0049:2026-07-01,M-0049,2026-07-01,405084,404775,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,309
M-0049:2026-07-02,M-0049,2026-07-02,405356,405084,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,272
M-0049:2026-07-03,M-0049,2026-07-03,405695,405356,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,339
M-0049:2026-07-04,M-0049,2026-07-04,405951,405695,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,256
M-0049:2026-07-05,M-0049,2026-07-05,406292,405951,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,341
M-0049:2026-07-06,M-0049,2026-07-06,406543,406292,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,251
M-0049:2026-07-07,M-0049,2026-07-07,406855,406543,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,312
M-0049:2026-07-08,M-0049,2026-07-08,407094,406855,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,239
M-0049:2026-07-09,M-0049,2026-07-09,407398,407094,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,304
M-0049:2026-07-10,M-0049,2026-07-10,407650,407398,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,252
M-0049:2026-07-11,M-0049,2026-07-11,407922,407650,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,272
M-0049:2026-07-12,M-0049,2026-07-12,408260,407922,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,338
M-0049:2026-07-13,M-0049,2026-07-13,408595,408260,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,335
M-0049:2026-07-14,M-0049,2026-07-14,408841,408595,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,246
M-0049:2026-07-15,M-0049,2026-07-15,409152,408841,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,311
M-0049:2026-07-16,M-0049,2026-07-16,409465,409152,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,313
M-0049:2026-07-17,M-0049,2026-07-17,409756,409465,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,291
M-0049:2026-07-18,M-0049,2026-07-18,409998,409756,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,242
M-0049:2026-07-19,M-0049,2026-07-19,410281,409998,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,283
M-0049:2026-07-20,M-0049,2026-07-20,410543,410281,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,262
M-0049:2026-07-21,M-0049,2026-07-21,410812,410543,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,269
M-0049:2026-07-22,M-0049,2026-07-22,411046,410812,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,234
M-0049:2026-07-23,M-0049,2026-07-23,411350,411046,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,304
M-0049:2026-07-24,M-0049,2026-07-24,411689,411350,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,339
M-0049:2026-07-25,M-0049,2026-07-25,411944,411689,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,255
M-0049:2026-07-26,M-0049,2026-07-26,412221,411944,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,277
M-0049:2026-07-27,M-0049,2026-07-27,412451,412221,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,230
M-0049:2026-07-28,M-0049,2026-07-28,412770,412451,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,319
M-0049:2026-07-29,M-0049,2026-07-29,413065,412770,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,295
M-0049:2026-07-30,M-0049,2026-07-30,413338,413065,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,273
M-0049:2026-07-31,M-0049,2026-07-31,413594,413338,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,256
M-0049:2026-08-01,M-0049,2026-08-01,413932,413594,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,338
M-0049:2026-08-02,M-0049,2026-08-02,414226,413932,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,294
M-0049:2026-08-03,M-0049,2026-08-03,414533,414226,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,307
M-0049:2026-08-04,M-0049,2026-08-04,414839,414533,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,306
M-0049:2026-08-05,M-0049,2026-08-05,415085,414839,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,246
M-0049:2026-08-06,M-0049,2026-08-06,415401,415085,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,316
M-0049:2026-08-07,M-0049,2026-08-07,415657,415401,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,256
M-0049:2026-08-08,M-0049,2026-08-08,415942,415657,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,285
M-0049:2026-08-09,M-0049,2026-08-09,416248,415942,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,306
M-0049:2026-08-10,M-0049,2026-08-10,416515,416248,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,267
M-0049:2026-08-11,M-0049,2026-08-11,416854,416515,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,339
M-0049:2026-08-12,M-0049,2026-08-12,417169,416854,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,315
M-0049:2026-08-13,M-0049,2026-08-13,417404,417169,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,235
M-0049:2026-08-14,M-0049,2026-08-14,417673,417404,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,269
M-0049:2026-08-15,M-0049,2026-08-15,417919,417673,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,246
M-0049:2026-08-16,M-0049,2026-08-16,418208,417919,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,289
M-0049:2026-08-17,M-0049,2026-08-17,418448,418208,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,240
M-0049:2026-08-18,M-0049,2026-08-18,418732,418448,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,284
M-0049:2026-08-19,M-0049,2026-08-19,418996,418732,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,264
M-0049:2026-08-20,M-0049,2026-08-20,419288,418996,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,292
M-0049:2026-08-21,M-0049,2026-08-21,419589,419288,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,301
M-0049:2026-08-22,M-0049,2026-08-22,419857,419589,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,268
M-0049:2026-08-23,M-0049,2026-08-23,420187,419857,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,330
M-0049:2026-08-24,M-0049,2026-08-24,420499,420187,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,312
M-0049:2026-08-25,M-0049,2026-08-25,420729,420499,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,230
M-0049:2026-08-26,M-0049,2026-08-26,421000,420729,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,271
M-0049:2026-08-27,M-0049,2026-08-27,421311,421000,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,311
M-0049:2026-08-28,M-0049,2026-08-28,421568,421311,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,257
M-0049:2026-08-29,M-0049,2026-08-29,421801,421568,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,233
M-0059:2026-06-01,M-0059,2026-06-01,239704,,,46d82b79-61cd-4884-bc2b-56551067447a,initial,
M-0059:2026-06-02,M-0059,2026-06-02,239886,239704,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,182
M-0059:2026-06-03,M-0059,2026-06-03,240028,239886,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,142
M-0059:2026-06-04,M-0059,2026-06-04,240195,240028,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,167
M-0059:2026-06-05,M-0059,2026-06-05,240376,240195,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,181
M-0059:2026-06-06,M-0059,2026-06-06,240520,240376,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,144
M-0059:2026-06-07,M-0059,2026-06-07,240704,240520,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,184
M-0059:2026-06-08,M-0059,2026-06-08,240904,240704,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,200
M-0059:2026-06-09,M-0059,2026-06-09,241105,240904,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,201
M-0059:2026-06-10,M-0059,2026-06-10,241292,241105,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,187
M-0059:2026-06-11,M-0059,2026-06-11,241458,241292,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0059:2026-06-12,M-0059,2026-06-12,241598,241458,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,140
M-0059:2026-06-13,M-0059,2026-06-13,241792,241598,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,194
M-0059:2026-06-14,M-0059,2026-06-14,241932,241792,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,140
M-0059:2026-06-15,M-0059,2026-06-15,242098,241932,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0059:2026-06-16,M-0059,2026-06-16,242282,242098,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,184
M-0059:2026-06-17,M-0059,2026-06-17,242481,242282,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,199
M-0059:2026-06-18,M-0059,2026-06-18,242621,242481,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,140
M-0059:2026-06-19,M-0059,2026-06-19,242798,242621,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,177
M-0059:2026-06-20,M-0059,2026-06-20,242986,242798,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,188
M-0059:2026-06-21,M-0059,2026-06-21,243141,242986,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,155
M-0059:2026-06-22,M-0059,2026-06-22,243279,243141,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,138
M-0059:2026-06-23,M-0059,2026-06-23,243436,243279,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,157
M-0059:2026-06-24,M-0059,2026-06-24,243623,243436,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,187
M-0059:2026-06-25,M-0059,2026-06-25,243789,243623,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0059:2026-06-26,M-0059,2026-06-26,243958,243789,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,169
M-0059:2026-06-27,M-0059,2026-06-27,244124,243958,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0059:2026-06-28,M-0059,2026-06-28,244308,244124,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,184
M-0059:2026-06-29,M-0059,2026-06-29,244471,244308,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,163
M-0059:2026-06-30,M-0059,2026-06-30,244670,244471,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,199
M-0059:2026-07-01,M-0059,2026-07-01,244858,244670,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,188
M-0059:2026-07-02,M-0059,2026-07-02,245012,244858,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,154
M-0059:2026-07-03,M-0059,2026-07-03,245149,245012,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,137
M-0059:2026-07-04,M-0059,2026-07-04,245345,245149,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,196
M-0059:2026-07-05,M-0059,2026-07-05,245530,245345,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,185
M-0059:2026-07-06,M-0059,2026-07-06,245713,245530,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,183
M-0059:2026-07-07,M-0059,2026-07-07,245885,245713,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,172
M-0059:2026-07-08,M-0059,2026-07-08,246024,245885,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,139
M-0059:2026-07-09,M-0059,2026-07-09,246190,246024,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0059:2026-07-10,M-0059,2026-07-10,246336,246190,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,146
M-0059:2026-07-11,M-0059,2026-07-11,246474,246336,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,138
M-0059:2026-07-12,M-0059,2026-07-12,246675,246474,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,201
M-0059:2026-07-13,M-0059,2026-07-13,246864,246675,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,189
M-0059:2026-07-14,M-0059,2026-07-14,247040,246864,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,176
M-0059:2026-07-15,M-0059,2026-07-15,247194,247040,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,154
M-0059:2026-07-16,M-0059,2026-07-16,247334,247194,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,140
M-0059:2026-07-17,M-0059,2026-07-17,247502,247334,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,168
M-0059:2026-07-18,M-0059,2026-07-18,247694,247502,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,192
