meter_id,customer_id,customer_name,district,segment,installed_on
M-0106,C-0106,Synthetic site 106,Sud,Residential,2025-01-01
M-0107,C-0107,Synthetic site 107,Est,Residential,2025-01-01
M-0108,C-0108,Synthetic site 108,Centre,Residential,2025-01-01
M-0109,C-0109,Synthetic site 109,Nord,Residential,2025-01-01
M-0110,C-0110,Synthetic site 110,Sud,Commercial,2025-01-01
M-0111,C-0111,Synthetic site 111,Est,Residential,2025-01-01
M-0112,C-0112,Synthetic site 112,Centre,Residential,2025-01-01
M-0113,C-0113,Synthetic site 113,Nord,Residential,2025-01-01
M-0114,C-0114,Synthetic site 114,Sud,Residential,2025-01-01
M-0115,C-0115,Synthetic site 115,Est,Commercial,2025-01-01
M-0116,C-0116,Synthetic site 116,Centre,Residential,2025-01-01
M-0117,C-0117,Synthetic site 117,Nord,Residential,2025-01-01
M-0118,C-0118,Synthetic site 118,Sud,Residential,2025-01-01
M-0119,C-0119,Synthetic site 119,Est,Residential,2025-01-01
M-0120,C-0120,Synthetic site 120,Centre,Commercial,2025-01-01
