invoice_id,meter_id,tariff_id,period_start,period_end,billed_volume_liters,billed_amount_cents,expected_amount_cents,start_counter_liters,end_counter_liters,missing_days,reset_events,volume_status,measured_volume_liters,signed_difference_cents,review_amount_cents,signed_volume_difference_liters,volume_review_liters
INV-0020,M-0020,T-2026,2026-06-01,2026-08-29,76444,30194,25694,315233,391677,0,0,matched,76444,4500,4500,0,0
INV-0021,M-0021,T-2026,2026-06-01,2026-08-29,15983,6044,6044,616278,632261,0,0,matched,15983,0,0,0,0
INV-0022,M-0022,T-2026,2026-06-01,2026-08-29,16278,6140,6140,675458,691736,0,0,matched,16278,0,0,0,0
INV-0023,M-0023,T-2026,2026-06-01,2026-08-29,23274,8414,8414,874565,897839,0,0,matched,23274,0,0,0,0
INV-0024,M-0024,T-2026,2026-06-01,2026-08-29,15554,5905,5905,277941,293495,0,0,matched,15554,0,0,0,0
INV-0025,M-0025,T-2026,2026-06-01,2026-08-29,54657,18614,18614,557137,611794,0,0,matched,54657,0,0,0,0
INV-0026,M-0026,T-2026,2026-06-01,2026-08-29,27997,9949,9949,388667,416664,0,0,matched,27997,0,0,0,0
INV-0027,M-0027,T-2026,2026-06-01,2026-08-29,29024,10283,10283,650418,679442,0,0,matched,29024,0,0,0,0
INV-0028,M-0028,T-2026,2026-06-01,2026-08-29,35216,12295,12295,816482,851698,0,0,matched,35216,0,0,0,0
INV-0029,M-0029,T-2026,2026-06-01,2026-08-29,35586,12415,12415,887326,910912,0,0,mismatch,23586,0,0,12000,12000
INV-0030,M-0030,T-2026,2026-06-01,2026-08-29,44375,15272,15272,524960,577335,0,0,mismatch,52375,0,0,-8000,8000
INV-0031,M-0031,T-2026,2026-06-01,2026-08-29,31601,11120,11120,404915,436516,0,0,matched,31601,0,0,0,0
INV-0032,M-0032,T-2026,2026-06-01,2026-08-29,32935,11554,11554,278629,311564,0,0,matched,32935,0,0,0,0
INV-0033,M-0033,T-2026,2026-06-01,2026-08-29,18709,6930,6930,336828,355537,0,0,matched,18709,0,0,0,0
INV-0034,M-0034,T-2026,2026-06-01,2026-08-29,34143,11946,11946,706186,740329,0,0,matched,34143,0,0,0,0
INV-0035,M-0035,T-2026,2026-06-01,2026-08-29,49199,16840,16840,853323,902522,0,0,matched,49199,0,0,0,0
INV-0036,M-0036,T-2026,2026-06-01,2026-08-29,19193,7088,7088,482154,501347,0,0,matched,19193,0,0,0,0
INV-0037,M-0037,T-2026,2026-06-01,2026-08-29,24715,8882,8882,403993,428708,0,0,matched,24715,0,0,0,0
INV-0038,M-0038,T-2026,2026-06-01,2026-08-29,28662,10165,10165,745583,774245,0,0,matched,28662,0,0,0,0
INV-0039,M-0039,T-2026,2026-06-01,2026-08-29,27604,9821,9821,792458,820062,0,0,matched,27604,0,0,0,0
INV-0040,M-0040,T-2026,2026-06-01,2026-08-29,73424,24713,24713,204548,277972,0,0,matched,73424,0,0,0,0
INV-0041,M-0041,T-2026,2026-06-01,2026-08-29,32161,11302,11302,664586,696747,0,0,matched,32161,0,0,0,0
INV-0042,M-0042,T-2026,2026-06-01,2026-08-29,28898,10242,10242,275623,304521,0,0,matched,28898,0,0,0,0
INV-0043,M-0043,T-2026,2026-06-01,2026-08-29,21565,7859,7859,649112,670677,0,0,matched,21565,0,0,0,0
INV-0044,M-0044,T-2026,2026-06-01,2026-08-29,35000,12225,12225,833561,868561,0,0,matched,35000,0,0,0,0
INV-0045,M-0045,T-2026,2026-06-01,2026-08-29,52842,18024,18024,497026,549868,0,0,matched,52842,0,0,0,0
INV-0046,M-0046,T-2026,2026-06-01,2026-08-29,21947,7983,7983,489939,511886,0,0,matched,21947,0,0,0,0
INV-0047,M-0047,T-2026,2026-06-01,2026-08-29,14506,5564,5564,212394,226900,0,0,matched,14506,0,0,0,0
INV-0048,M-0048,T-2026,2026-06-01,2026-08-29,33506,11739,11739,224223,257729,0,0,matched,33506,0,0,0,0
INV-0049,M-0049,T-2026,2026-06-01,2026-08-29,24890,8939,8939,396911,421801,0,0,matched,24890,0,0,0,0
INV-0050,M-0050,T-2026,2026-06-01,2026-08-29,81406,27307,27307,658752,740158,0,0,matched,81406,0,0,0,0
INV-0051,M-0051,T-2026,2026-06-01,2026-08-29,29502,10438,10438,365860,395362,0,0,matched,29502,0,0,0,0
INV-0052,M-0052,T-2026,2026-06-01,2026-08-29,31262,11010,11010,251706,282968,0,0,matched,31262,0,0,0,0
INV-0053,M-0053,T-2026,2026-06-01,2026-08-29,25429,9114,9114,612509,637938,0,0,matched,25429,0,0,0,0
INV-0054,M-0054,T-2026,2026-06-01,2026-08-29,18235,6776,6776,660623,678858,0,0,matched,18235,0,0,0,0
INV-0055,M-0055,T-2026,2026-06-01,2026-08-29,48788,16706,16706,837517,886305,0,0,matched,48788,0,0,0,0
INV-0056,M-0056,T-2026,2026-06-01,2026-08-29,30172,10656,10656,549472,579644,0,0,matched,30172,0,0,0,0
INV-0057,M-0057,T-2026,2026-06-01,2026-08-29,23926,8626,8626,323365,347291,0,0,matched,23926,0,0,0,0
INV-0058,M-0058,T-2026,2026-06-01,2026-08-29,28127,9991,9991,685394,713521,0,0,matched,28127,0,0,0,0
INV-0059,M-0059,T-2026,2026-06-01,2026-08-29,14941,5706,5706,239704,254645,0,0,matched,14941,0,0,0,0
INV-0060,M-0060,T-2026,2026-06-01,2026-08-29,55989,19046,19046,756208,812197,0,0,matched,55989,0,0,0,0
INV-0061,M-0061,T-2026,2026-06-01,2026-08-29,17699,6602,6602,884578,902277,0,0,matched,17699,0,0,0,0
INV-0062,M-0062,T-2026,2026-06-01,2026-08-29,23928,8627,8627,553729,577657,0,0,matched,23928,0,0,0,0
INV-0063,M-0063,T-2026,2026-06-01,2026-08-29,16572,6236,6236,448636,465208,0,0,matched,16572,0,0,0,0
INV-0064,M-0064,T-2026,2026-06-01,2026-08-29,26576,9487,9487,803171,829747,0,0,matched,26576,0,0,0,0
INV-0065,M-0065,T-2026,2026-06-01,2026-08-29,64865,21931,21931,498196,563061,0,0,matched,64865,0,0,0,0
INV-0066,M-0066,T-2026,2026-06-01,2026-08-29,17189,6436,6436,815702,832891,0,0,matched,17189,0,0,0,0
INV-0067,M-0067,T-2026,2026-06-01,2026-08-29,31824,11193,11193,785792,817616,0,0,matched,31824,0,0,0,0
INV-0068,M-0068,T-2026,2026-06-01,2026-08-29,14974,5717,5717,286243,301217,0,0,matched,14974,0,0,0,0
INV-0069,M-0069,T-2026,2026-06-01,2026-08-29,30469,10752,10752,607980,638449,0,0,matched,30469,0,0,0,0
INV-0070,M-0070,T-2026,2026-06-01,2026-08-29,49836,17047,17047,858342,908178,0,0,matched,49836,0,0,0,0
INV-0071,M-0071,T-2026,2026-06-01,2026-08-29,24856,8928,8928,697920,722776,0,0,matched,24856,0,0,0,0
INV-0072,M-0072,T-2026,2026-06-01,2026-08-29,26742,9541,9541,878540,905282,0,0,matched,26742,0,0,0,0
INV-0073,M-0073,T-2026,2026-06-01,2026-08-29,24324,8755,8755,372998,397322,0,0,matched,24324,0,0,0,0
INV-0074,M-0074,T-2026,2026-06-01,2026-08-29,28841,10223,10223,300780,329621,0,0,matched,28841,0,0,0,0
INV-0075,M-0075,T-2026,2026-06-01,2026-08-29,68899,23242,23242,856470,925369,0,0,matched,68899,0,0,0,0
INV-0076,M-0076,T-2026,2026-06-01,2026-08-29,27930,9927,9927,434981,462911,0,0,matched,27930,0,0,0,0
INV-0077,M-0077,T-2026,2026-06-01,2026-08-29,23629,8529,8529,667863,691492,0,0,matched,23629,0,0,0,0
INV-0078,M-0078,T-2026,2026-06-01,2026-08-29,14990,5722,5722,364458,379448,0,0,matched,14990,0,0,0,0
INV-0079,M-0079,T-2026,2026-06-01,2026-08-29,20260,7435,7435,293982,314242,0,0,matched,20260,0,0,0,0
INV-0080,M-0080,T-2026,2026-06-01,2026-08-29,49084,16802,16802,210043,259127,0,0,matched,49084,0,0,0,0
INV-0081,M-0081,T-2026,2026-06-01,2026-08-29,29535,10449,10449,644407,673942,0,0,matched,29535,0,0,0,0
INV-0082,M-0082,T-2026,2026-06-01,2026-08-29,18739,6940,6940,871670,890409,0,0,matched,18739,0,0,0,0
INV-0083,M-0083,T-2026,2026-06-01,2026-08-29,15688,5949,5949,375566,391254,0,0,matched,15688,0,0,0,0
INV-0084,M-0084,T-2026,2026-06-01,2026-08-29,29881,10561,10561,637977,667858,0,0,matched,29881,0,0,0,0
INV-0085,M-0085,T-2026,2026-06-01,2026-08-29,56898,19342,19342,635214,692112,0,0,matched,56898,0,0,0,0
INV-0086,M-0086,T-2026,2026-06-01,2026-08-29,17867,6657,6657,375161,393028,0,0,matched,17867,0,0,0,0
INV-0087,M-0087,T-2026,2026-06-01,2026-08-29,28606,10147,10147,206336,234942,0,0,matched,28606,0,0,0,0
INV-0088,M-0088,T-2026,2026-06-01,2026-08-29,19640,7233,7233,831399,851039,0,0,matched,19640,0,0,0,0
INV-0089,M-0089,T-2026,2026-06-01,2026-08-29,35327,12331,12331,546297,581624,0,0,matched,35327,0,0,0,0
INV-0090,M-0090,T-2026,2026-06-01,2026-08-29,62369,21120,21120,291939,354308,0,0,matched,62369,0,0,0,0
INV-0091,M-0091,T-2026,2026-06-01,2026-08-29,33607,11772,11772,803646,837253,0,0,matched,33607,0,0,0,0
INV-0092,M-0092,T-2026,2026-06-01,2026-08-29,31660,11140,11140,507648,539308,0,0,matched,31660,0,0,0,0
INV-0093,M-0093,T-2026,2026-06-01,2026-08-29,31906,11219,11219,480357,512263,0,0,matched,31906,0,0,0,0
INV-0094,M-0094,T-2026,2026-06-01,2026-08-29,21967,7989,7989,312369,334336,0,0,matched,21967,0,0,0,0
INV-0095,M-0095,T-2026,2026-06-01,2026-08-29,51156,17476,17476,598828,649984,0,0,matched,51156,0,0,0,0
INV-0096,M-0096,T-2026,2026-06-01,2026-08-29,20309,7450,7450,416976,437285,0,0,matched,20309,0,0,0,0
INV-0097,M-0097,T-2026,2026-06-01,2026-08-29,14526,5571,5571,315380,329906,0,0,matched,14526,0,0,0,0
INV-0098,M-0098,T-2026,2026-06-01,2026-08-29,23794,8583,8583,830973,854767,0,0,matched,23794,0,0,0,0
INV-0099,M-0099,T-2026,2026-06-01,2026-08-29,30918,10898,10898,786462,817380,0,0,matched,30918,0,0,0,0
INV-0100,M-0100,T-2026,2026-06-01,2026-08-29,69071,23298,23298,528957,598028,0,0,matched,69071,0,0,0,0
INV-0101,M-0101,T-2026,2026-06-01,2026-08-29,34784,12155,12155,649350,684134,0,0,matched,34784,0,0,0,0
INV-0102,M-0102,T-2026,2026-06-01,2026-08-29,20860,7630,7630,641073,661933,0,0,matched,20860,0,0,0,0
INV-0103,M-0103,T-2026,2026-06-01,2026-08-29,17324,6480,6480,496183,513507,0,0,matched,17324,0,0,0,0
INV-0104,M-0104,T-2026,2026-06-01,2026-08-29,18776,6952,6952,888866,907642,0,0,matched,18776,0,0,0,0
INV-0105,M-0105,T-2026,2026-06-01,2026-08-29,73769,24825,24825,683072,756841,0,0,matched,73769,0,0,0,0
INV-0106,M-0106,T-2026,2026-06-01,2026-08-29,20369,7470,7470,437465,457834,0,0,matched,20369,0,0,0,0
INV-0107,M-0107,T-2026,2026-06-01,2026-08-29,21762,7923,7923,610020,631782,0,0,matched,21762,0,0,0,0
INV-0108,M-0108,T-2026,2026-06-01,2026-08-29,22518,8168,8168,333457,355975,0,0,matched,22518,0,0,0,0
INV-0109,M-0109,T-2026,2026-06-01,2026-08-29,14601,5595,5595,366004,380605,0,0,matched,14601,0,0,0,0
INV-0110,M-0110,T-2026,2026-06-01,2026-08-29,64779,21903,21903,573801,638580,0,0,matched,64779,0,0,0,0
INV-0111,M-0111,T-2026,2026-06-01,2026-08-29,19370,7145,7145,296459,315829,0,0,matched,19370,0,0,0,0
INV-0112,M-0112,T-2026,2026-06-01,2026-08-29,15490,5884,5884,314515,330005,0,0,matched,15490,0,0,0,0
INV-0113,M-0113,T-2026,2026-06-01,2026-08-29,21147,7723,7723,852126,873273,0,0,matched,21147,0,0,0,0
INV-0114,M-0114,T-2026,2026-06-01,2026-08-29,29964,10588,10588,783994,813958,0,0,matched,29964,0,0,0,0
INV-0115,M-0115,T-2026,2026-06-01,2026-08-29,79683,26747,26747,322119,401802,0,0,matched,79683,0,0,0,0
INV-0116,M-0116,T-2026,2026-06-01,2026-08-29,15439,5868,5868,481351,496790,0,0,matched,15439,0,0,0,0
INV-0117,M-0117,T-2026,2026-06-01,2026-08-29,27192,9687,9687,226101,253293,0,0,matched,27192,0,0,0,0
INV-0118,M-0118,T-2026,2026-06-01,2026-08-29,21833,7946,7946,299315,321148,0,0,matched,21833,0,0,0,0
INV-0119,M-0119,T-2026,2026-06-01,2026-08-29,16367,6169,6169,586785,603152,0,0,matched,16367,0,0,0,0
INV-0120,M-0120,T-2026,2026-06-01,2026-08-29,63025,21333,21333,255926,318951,0,0,matched,63025,0,0,0,0
